race_distance,race_city,race_country,Region,url_region,url_distance,url_location,url_race,url_year,url_date
Ironman 140.6,Lake Placid,USA,North America,americas,ironman,lake-placid,lakeplacid,2014,20140727
Ironman 140.6,Whistler,Canada,North America,americas,ironman,canada,canada,2014,20140727
Ironman 140.6,Mont Tremblant,Canada,North America,americas,ironman,mont-tremblant,monttremblant,2014,20140817
Ironman 140.6,Madison,USA,North America,americas,ironman,wisconsin,wisconsin,2014,20140907
Ironman 140.6,Cambridge,USA,North America,americas,ironman,maryland,maryland,2014,20140920
Ironman 140.6,Chattanooga,USA,North America,americas,ironman,chattanooga,chattanooga,2014,20140928
Ironman 140.6,Louisville,USA,North America,americas,ironman,louisville,louisville,2014,20140824
Ironman 140.6,Panama City Beach,USA,North America,americas,ironman,florida,florida,2014,20141101
Ironman 140.6,Tempe,USA,North America,americas,ironman,arizona,arizona,2014,20141116
Ironman 140.6,Cozumel,Mexico,North America,americas,ironman,cozumel,cozumel,2014,20141130
Ironman 140.6,Florianopolis,Brazil,South America,americas,ironman,brazil,brazil,2014,20140525
Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,emea,ironman,south-africa,southafrica,2014,20140406
Ironman 140.6,Langkawi,Malaysia,Asia,asiapac,ironman,malaysia,malaysia,2014,20140927
Ironman 140.6,Port Macquarie,Australia,Oceania,asiapac,ironman,australia,australia,2014,20140504
Ironman 140.6,Cairns,Australia,Oceania,asiapac,ironman,cairns,cairns,2014,20140608
Ironman 140.6,Busselton,Australia,Oceania,asiapac,ironman,western-australia,westernaustralia,2014,20141207
Ironman 140.6,Taupo,New Zealand,Oceania,asiapac,ironman,new-zealand,newzealand,2014,20140301
Ironman 140.6,Lanzarote,Spain,Europe,emea,ironman,lanzarote,lanzarote,2015,20150523
Ironman 140.6,Copenhagen,Denmark,Europe,emea,ironman,copenhagen,copenhagen,2015,20150823
Ironman 140.6,Klagenfurt,Austria,Europe,emea,ironman,austria,austria,2015,20150628
Ironman 140.6,Frankfurt,Germany,Europe,emea,ironman,frankfurt,germany,2015,20150705
Ironman 140.6,Kalmar,Sweden,Europe,emea,ironman,kalmar,kalmar,2015,20150815
Ironman 140.6,Zurich,Switzerland,Europe,emea,ironman,switzerland,switzerland,2015,20150719
Ironman 140.6,Nice,France,Europe,emea,ironman,france,france,2015,20150628
Ironman 140.6,Bolton,England,Europe,emea,ironman,uk,uk,2015,20150719
Ironman 140.6,Pembrokeshire,England,Europe,emea,ironman,wales,wales,2015,20150913
Ironman 140.6,Barcelona,Spain,Europe,emea,ironman,barcelona,barcelona,2015,20151004
Ironman 140.6,Vichy,France,Europe,emea,ironman,vichy,vichy,2015,20150830
Ironman 140.6,Maastricht,Netherlands,Europe,emea,ironman,inactive/maastricht,Maastricht,2015,20150802
Ironman 140.6,Kailua-Kona,USA,North America,americas,ironman,world-championship,worldchampionship,2015,20151010
Ironman 140.6,The Woodlands,USA,North America,americas,ironman,texas,texas,2015,20150516
Ironman 140.6,Boulder,USA,North America,americas,ironman,boulder,boulder,2015,20150802
Ironman 140.6,Lake Placid,USA,North America,americas,ironman,lake-placid,lakeplacid,2015,20150726
Ironman 140.6,Whistler,Canada,North America,americas,ironman,canada,canada,2015,20150726
Ironman 140.6,Mont Tremblant,Canada,North America,americas,ironman,mont-tremblant,monttremblant,2015,20150816
Ironman 140.6,Madison,USA,North America,americas,ironman,wisconsin,wisconsin,2015,20150913
Ironman 140.6,Cambridge,USA,North America,americas,ironman,maryland,maryland,2015,20151017
Ironman 140.6,Chattanooga,USA,North America,americas,ironman,chattanooga,chattanooga,2015,20150927
Ironman 140.6,Louisville,USA,North America,americas,ironman,louisville,louisville,1015,10151011
Ironman 140.6,Panama City Beach,USA,North America,americas,ironman,florida,florida,2015,20151107
Ironman 140.6,Tempe,USA,North America,americas,ironman,arizona,arizona,2015,20151115
Ironman 140.6,Cozumel,Mexico,North America,americas,ironman,cozumel,cozumel,2015,20151129
Ironman 140.6,Florianopolis,Brazil,South America,americas,ironman,brazil,brazil,2015,20150531
Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,emea,ironman,south-africa,southafrica,2015,20150329
Ironman 140.6,Subic Bay,Philippines,Asia,asiapac,ironman,,,2015,20150531
Ironman 140.6,Penghu,Taiwan,Asia,asiapac,ironman,taiwan,taiwan,2015,20150412
Ironman 140.6,Langkawi,Malaysia,Asia,asiapac,ironman,malaysia,malaysia,2015,20151114
Ironman 140.6,Port Macquarie,Australia,Oceania,asiapac,ironman,australia,australia,2015,20150503
Ironman 140.6,Cairns,Australia,Oceania,asiapac,ironman,cairns,cairns,2015,20150614
Ironman 140.6,Busselton,Australia,Oceania,asiapac,ironman,western-australia,westernaustralia,2015,20151206
Ironman 140.6,Taupo,New Zealand,Oceania,asiapac,ironman,new-zealand,newzealand,2015,20150307
Ironman 140.6,Muskoka,Canada,North America,americas,ironman,inactive/muskoka,muskoka,2015,20150830
Ironman 140.6,Lanzarote,Spain,Europe,emea,ironman,lanzarote,lanzarote,2016,20160521
Ironman 140.6,Copenhagen,Denmark,Europe,emea,ironman,copenhagen,copenhagen,2016,20160821
Ironman 140.6,Klagenfurt,Austria,Europe,emea,ironman,austria,austria,2016,20160626
Ironman 140.6,Frankfurt,Germany,Europe,emea,ironman,frankfurt,germany,2016,20160703
Ironman 140.6,Kalmar,Sweden,Europe,emea,ironman,kalmar,kalmar,2016,20160820
Ironman 140.6,Zurich,Switzerland,Europe,emea,ironman,switzerland,switzerland,2016,20160724
Ironman 140.6,Nice,France,Europe,emea,ironman,france,france,2016,20160605
Ironman 140.6,Bolton,England,Europe,emea,ironman,uk,uk,2016,20160717
Ironman 140.6,Pembrokeshire,England,Europe,emea,ironman,wales,wales,2016,20160918
Ironman 140.6,Barcelona,Spain,Europe,emea,ironman,barcelona,barcelona,2016,20161002
Ironman 140.6,Vichy,France,Europe,emea,ironman,vichy,vichy,2016,20160828
Ironman 140.6,Maastricht,Netherlands,Europe,emea,ironman,inactive/maastricht,Maastricht,2016,20160731
